! VOLCANO_NAMES.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! B. Hughes/SAB          2/04   Changed Smithsonian Number to Volcano Names for Map (D. Plummer)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
Iwo-jima 999999 Iwo-jima                         -- --  2475  14129   169  0 Volcano.Is-Japan
Iya      999999 Iya                              -- --  -889  12164   618  0 Lesser.Sunda.Is
Izalco   999999 Izalco                           -- --  1381  -8963  1950  0 El.Salvador
Izu-Tobu 999999 Izu-Tobu                         -- --  3490  13910  1406  0 Honshu-Japan
Jan_Maye 999999 Jan_Mayen                        -- --  7108   -815  2197  0 Atlantic-N-Jan.Mayen
Jefferso 999999 Jefferson                        -- --  4467 -12180  3199  0 US-Oregon
Jocotitl 999999 Jocotitlan                       -- --  1973  -9976  3900  0 Mexico-Is
Kaba     999999 Kaba                             -- --  -352  10262  1940  0 Sumatra
Kadovar  999999 Kadovar                          -- --  -361  14459   365  0 New.Guinea
Kagamil  999999 Kagamil                          -- --  5297 -16972   893  0 Aleutian.Is
Kaikohe- 999999 Kaikohe-Bay_of_Islands           -- -- -3530  17390   388  0 New.Zealand
Kaitoku_ 999999 Kaitoku_Seamount                 -- --  2613  14110   -95  0 Volcano.Is-Japan
Kambalny 999999 Kambalny                         -- --  5131  15688  2116  0 Kamchatka
Kanaga   999999 Kanaga                           -- --  5192 -17717  1307  0 Aleutian.Is
Kao      999999 Kao                              -- -- -1967 -17502  1009  0 Tonga-SW.Pacific
Karanget 999999 Karangetang_[Api_Siau]           -- --   278  12541  1797  0 Sangihe.Is-Indonesia
Karkar   999999 Karkar                           -- --  -465  14598  1839  0 New.Guinea
Karpinsk 999999 Karpinsky_Group                  -- --  5015  15537  1326  0 Kuril.Is
Karthala 999999 Karthala                         -- -- -1175   4338  2361  0 Indian.O-W
Karymsky 999999 Karymsky                         -- --  5405  15944  1513  0 Kamchatka
Kasatoch 999999 Kasatochi                        -- --  5218 -17551   314  0 Aleutian.Is
Kasuga_1 999999 Kasuga_1                         -- --  2176  14371  -598  0 Mariana.Is-C.Pacific
Katla    999999 Katla                            -- --  6363  -1908  1490  0 Iceland-S
Katmai   999999 Katmai                           -- --  5828 -15496  2047  0 Alaska.Peninsula
Kavachi  999999 Kavachi                          -- --  -899  15798   -20  0 Solomon.Is-SW.Pac
Kelimutu 999999 Kelimutu                         -- --  -877  12182  1639  0 Lesser.Sunda.Is
Kelut    999999 Kelut                            -- --  -794  11231  1730  0 Java
Kerinci  999999 Kerinci                          -- --  -170  10126  3800  0 Sumatra
Ketoi    999999 Ketoi                            -- --  4735  15248  1172  0 Kuril.Is
Khangar  999999 Khangar                          -- --  5476  15741  1967  0 Kamchatka
Kharimko 999999 Kharimkotan                      -- --  4912  15451  1145  0 Kuril.Is
Khaybar, 999999 Khaybar,_Harrat                  -- --  2550   4000  2093  0 Saudi_Arabia
Kick-'em 999999 Kick-'em-Jenny                   -- --  1230  -6164  -185  0 W.Indies
Kikai    999999 Kikai                            -- --  3079  13030   704  0 Ryukyu.Is
Kikhpiny 999999 Kikhpinych                       -- --  5449  16025  1515  0 Kamchatka
Kilauea  999999 Kilauea                          -- --  1942 -15529  1222  0 Hawaiian.Is
Kinenin  999999 Kinenin                          -- --  5735  16097   583  0 Kamchatka
Kirishim 999999 Kirishima                        -- --  3193  13086  1700  0 Kyushu-Japan
Kiska    999999 Kiska                            -- --  5210  17760  1220  0 Aleutian.Is
Kita-Fuk 999999 Kita-Fukutokutai                 -- --  2442  14142   -73  0 Izu.Is-Japan
Kita-Iwo 999999 Kita-Iwo-jima                    -- --  2542  14128   792  0 Volcano.Is-Japan
Kizimen  999999 Kizimen                          -- --  5513  16032  2334  0 Kamchatka
