! VORS.TBL
!
! This table contains aviation VOR points.
!
! The format for the file is given below, with the number of characters in
! parentheses.
! ******************************************************************************
! IF YOU CHANGE THIS TABLE YOU MUST CHECK BOTH THE snap.tbl AND THE coordPts.tbl
! ******************************************************************************
!
!!
! Log:
! G. Krueger/EAI       10/97
! G. Krueger/EAI        3/98	Added and deleted large no. of entries
! G. Krueger/EAI	2/99	Updated several entries from AWC info.
! S. Jacobs/NCEP	11/01	Added Alaskan VOR points	
! B. Yin/SAIC		06/05	Per AWC replace MQT with SAW
! J. Lewis/AWC           7/06   Added HAwaian VOR points
! B. Entwistle/AWC       2/08   Changed 11 VOR points
! J. Lewis/AWC		11/12	Changed VRB to TRV
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2)
!
PDT      000207 PENDLETON                        OR US  4570 -11894     0  0
EHF      000317 BAKERSFIELD                      CA US  3548 -11910     0  0
EPH      000324 EPHRATA                          WA US  4738 -11942     0  0
FMG      000327 RENO                             NV US  3953 -11966     0  0
RZS      000375 SANTA_BARBARA                    CA US  3451 -11977     0  0
CZQ      000303 FRESNO                           CA US  3688 -11982     0  0
YKM      000279 YAKIMA                           WA US  4657 -12045     0  0
LKV      000158 LAKEVIEW                         OR US  4249 -12051     0  0
YDC      000389 PRINCETON                        BC CN  4947 -12052     0  0
MOD      000186 MODESTO                          CA US  3763 -12096     0  0
DSD      000314 REDMOND                          WA US  4425 -12130     0  0
SAC      000236 SACRAMENTO                       CA US  3844 -12155     0  0
SNS      000253 SALINAS                          CA US  3666 -12160     0  0
OAK      000356 OAKLAND                          CA US  3773 -12222     0  0
RBL      000225 RED_BLUFF                        CA US  4010 -12224     0  0
SEA      000243 SEATTLE                          WA US  4744 -12231     0  0
HUH      000035 WHATCOM                          WA US  4895 -12258     0  0
BTG      000208 BATTLE_GROUND                    WA US  4575 -12259     0  0
PYE      000371 POINT_REYES                      CA US  3808 -12287     0  0
OED      000362 MEDFORD                          OR US  4248 -12291     0  0
EUG      000093 EUGENE                           OR US  4412 -12322     0  0
ENI      000323 UKIAH                            CA US  3905 -12327     0  0
ONP      000201 NEWPORT                          OR US  4458 -12406     0  0
HQM      000127 HOQUIAM                          WA US  4695 -12415     0  0
FOT      000106 FORTUNA                          CA US  4067 -12423     0  0
TOU      000265 NEAH_BAY                         WA US  4830 -12463     0  0
YQV      000402 YORKTON                          SA CN  5127 -10247     0  0
MMB      000110 GAGE                             OK US  3634 -9988      0  0
ANN           0 ANNETTE_ISLAND                   AK US  5505 -13157     0  0
LVD           0 LEVEL_ISLAND                     AK US  5647 -13308     0  0
BKA           0 BIORKA_ISLAND                    AK US  5686 -13555     0  0
SSR           0 SISTERS_ISLAND                   AK US  5817 -13525     0  0
JNU           0 JUNEAU                           AK US  5835 -13458     0  0
YAK           0 YAKUTAT                          AK US  5950 -13967     0  0
MDO           0 MIDDLETON_ISLAND                 AK US  5945 -14630     0  0
JOH           0 JOHNSTONE_POINT                  AK US  6048 -14660     0  0
ODK           0 KODIAK                           AK US  5775 -15250     0  0
HOM           0 HOMER                            AK US  5965 -15148     0  0
ENA           0 KENAI                            AK US  6057 -15125     0  0
ANC           0 ANCHORAGE                        AK US  6117 -15000     0  0
BGQ           0 BIG_LAKE                         AK US  6153 -14982     0  0
ORT           0 NORTHWAY                         AK US  6297 -14193     0  0
GKN           0 GULKANA                          AK US  6215 -14545     0  0
TKA           0 TALKEETNA                        AK US  6232 -15010     0  0
SQA           0 SPARREVOHN                       AK US  6110 -15563     0  0
DLG           0 DILLINGHAM                       AK US  5905 -15850     0  0
AKN           0 KING_SALMON                      AK US  5868 -15665     0  0
PDN           0 PORT_HEIDEN                      AK US  5695 -15865     0  0
CDB           0 COLD_BAY                         AK US  5520 -16273     0  0
DUT           0 DUTCH_HARBOR                     AK US  5390 -16655     0  0
NUD           0 ADAK                             AK US  5188 -17665     0  0
SYA           0 SHEMYA                           AK US  5272  17412     0  0
SPY           0 ST_PAUL_ISLAND                   AK US  5717 -17022     0  0
EHM           0 CAPE_NEWENHAM                    AK US  5866 -16207     0  0
HPB           0 HOOPER_BAY                       AK US  6152 -16614     0  0
BET           0 BETHEL                           AK US  6078 -16183     0  0
ANI           0 ANIAK                            AK US  6159 -15961     0  0
SMA           0 ST_MARYS                         AK US  6206 -16330     0  0
UNK           0 UNALAKLEET                       AK US  6388 -16080     0  0
ULL           0 KUKULIAK                         AK US  6370 -17048     0  0
MCG           0 MC_GRATH                         AK US  6295 -15560     0  0
ENN           0 NENANA                           AK US  6455 -14907     0  0
FAI           0 FAIRBANKS                        AK US  6482 -14785     0  0
BIG           0 BIG_DELTA                        AK US  6400 -14572     0  0
FYU           0 FORT_YUKON                       AK US  6657 -14525     0  0
BTT           0 BETTLES                          AK US  6692 -15153     0  0
TAL           0 TANANA                           AK US  6518 -15218     0  0
CQR           0 CHANDALAR_LAKE                   AK US  6750 -14847     0  0
SCC           0 DEADHORSE                        AK US  7020 -14847     0  0
BTI           0 BARTER_ISLAND                    AK US  7013 -14357     0  0
BRW           0 BARROW                           AK US  7128 -15677     0  0
GAL           0 GALENA                           AK US  6473 -15693     0  0
