NJZ106   301060 Eastern_Essex                    NJ US  4069  -7413     0  0 OKX
NJZ103   301030 Western_Bergen                   NJ US  4102  -7415     0  0 OKX
NYZ074   320740 Richmond_(Staten_Is.)            NY US  4058  -7416     0  0 OKX
NYZ048   320480 Western_Schenectady              NY US  4279  -7416     0  0 ALY
NJZ026   300260 Coastal_Ocean                    NJ US  3979  -7416     0  0 PHI
NJZ004   300040 Eastern_Passaic                  NJ US  4092  -7420     0  0 OKX
NYZ058   320580 Western_Greene                   NY US  4226  -7424     0  0 ALY
NJZ108   301080 Eastern_Union                    NJ US  4065  -7424     0  0 OKX
NJZ013   300130 Western_Monmouth                 NJ US  4026  -7426     0  0 PHI
NYZ030   320300 Southern_Franklin                NY US  4452  -7427     0  0 BTV
NJZ105   301050 Western_Essex                    NJ US  4080  -7428     0  0 OKX
NYZ067   320670 Orange                           NY US  4140  -7431     0  0 OKX
NJZ020   300200 Ocean                            NJ US  3992  -7431     0  0 PHI
NJZ002   300020 Western_Passaic                  NJ US  4109  -7435     0  0 OKX
NJZ107   301070 Western_Union                    NJ US  4067  -7436     0  0 OKX
NYZ063   320630 Western_Ulster                   NY US  4192  -7438     0  0 ALY
NJZ012   300120 Middlesex                        NJ US  4044  -7441     0  0 PHI
NYZ082   320820 Northern_Fulton                  NY US  4316  -7442     0  0 ALY
NYZ039   320390 Southern_Fulton                  NY US  4304  -7442     0  0 ALY
NYZ027   320270 Northern_Franklin                NY US  4490  -7443     0  0 BTV
NYZ047   320470 Schoharie                        NY US  4259  -7444     0  0 ALY
NYZ040   320400 Montgomery                       NY US  4290  -7444     0  0 ALY
NJZ025   300250 Coastal_Atlantic                 NJ US  3939  -7444     0  0 PHI
NYZ033   320330 Hamilton                         NY US  4366  -7450     0  0 ALY
NJZ008   300080 Morris                           NJ US  4086  -7454     0  0 PHI
NJZ027   300270 Southeastern_Burlington          NJ US  3975  -7456     0  0 PHI
NJZ010   300100 Somerset                         NJ US  4056  -7462     0  0 PHI
NJZ001   300010 Sussex                           NJ US  4114  -7469     0  0 PHI
NJZ022   300220 Atlantic                         NJ US  3949  -7470     0  0 PHI
NJZ015   300150 Mercer                           NJ US  4028  -7470     0  0 PHI
NJZ019   300190 Northwestern_Burlington          NJ US  3999  -7476     0  0 PHI
NYZ062   320620 Sullivan                         NY US  4172  -7477     0  0 BGM
NJZ024   300240 Atlantic_Coastal_Cape_May        NJ US  3910  -7477     0  0 PHI
NJZ023   300230 Cape_May                         NJ US  3918  -7482     0  0 PHI
NYZ029   320290 Southeastern_St._Lawrence        NY US  4432  -7486     0  0 BTV
NJZ009   300090 Hunterdon                        NJ US  4057  -7491     0  0 PHI
NYZ026   320260 Northern_St._Lawrence            NY US  4485  -7492     0  0 BTV
NYZ038   320380 Southern_Herkimer                NY US  4309  -7495     0  0 ALY
NJZ018   300180 Camden                           NJ US  3980  -7496     0  0 PHI
PAZ106   381060 Lower_Bucks                      PA US  4023  -7497     0  0 PHI
NYZ057   320570 Delaware                         NY US  4220  -7497     0  0 BGM
NYZ032   320320 Northern_Herkimer                NY US  4371  -7497     0  0 ALY
NJZ007   300070 Warren                           NJ US  4086  -7500     0  0 PHI
PAZ048   380480 Pike                             PA US  4133  -7503     0  0 BGM
NYZ046   320460 Otsego                           NY US  4263  -7503     0  0 BGM
DEZ004    80040 Delaware_Beaches                 DE US  3861  -7509     0  0 PHI
NJZ021   300210 Cumberland                       NJ US  3937  -7511     0  0 PHI
PAZ071   380710 Philadelphia                     PA US  4001  -7513     0  0 PHI
NJZ017   300170 Gloucester                       NJ US  3972  -7514     0  0 PHI
MDZ025   200250 Maryland_Beaches                 MD US  3825  -7516     0  0 AKQ
PAZ105   381050 Upper_Bucks                      PA US  4044  -7524     0  0 PHI
PAZ104   381040 Eastern_Montgomery               PA US  4014  -7524     0  0 PHI
PAZ040   380400 Northern_Wayne                   PA US  4178  -7529     0  0 BGM
PAZ062   380620 Northampton                      PA US  4075  -7531     0  0 PHI
NYZ087   320870 Southwestern_St._Lawrence        NY US  4452  -7531     0  0 BTV
PAZ072   380720 Southern_Wayne                   PA US  4148  -7532     0  0 BGM
PAZ055   380550 Monroe                           PA US  4106  -7534     0  0 PHI
NJZ016   300160 Salem                            NJ US  3959  -7535     0  0 PHI
PAZ070   380700 Delaware                         PA US  3992  -7540     0  0 PHI
NYZ037   320370 Southern_Oneida                  NY US  4312  -7541     0  0 BGM
MDZ024   200240 Inland_Worcester                 MD US  3815  -7541     0  0 AKQ
DEZ003    80030 Inland_Sussex                    DE US  3867  -7542     0  0 PHI
NYZ008   320080 Lewis                            NY US  4378  -7545     0  0 BUF
NYZ009   320090 Northern_Oneida                  NY US  4338  -7547     0  0 BGM
PAZ103   381030 Western_Montgomery               PA US  4028  -7548     0  0 PHI
NCZ205   332050 Hatteras_Island                  NC US  3539  -7554     0  0 MHX
DEZ002    80020 Kent                             DE US  3909  -7557     0  0 PHI
PAZ061   380610 Lehigh                           PA US  4061  -7559     0  0 PHI
PAZ044   380440 Lackawanna                       PA US  4144  -7561     0  0 BGM
NYZ045   320450 Chenango                         NY US  4249  -7561     0  0 BGM
MDZ022   200220 Wicomico                         MD US  3837  -7562     0  0 AKQ
DEZ001    80010 New_Castle                       DE US  3958  -7565     0  0 PHI
VAZ099   460990 Accomack                         VA US  3777  -7566     0  0 AKQ
NYZ036   320360 Madison                          NY US  4291  -7567     0  0 BGM
NCZ203   332030 Northern_Outer_Banks             NC US  3596  -7567     0  0 MHX
PAZ102   381020 Eastern_Chester                  PA US  3991  -7568     0  0 PHI
PAZ054   380540 Carbon                           PA US  4092  -7571     0  0 PHI
MDZ023   200230 Somerset                         MD US  3812  -7574     0  0 AKQ
PAZ101   381010 Western_Chester                  PA US  4002  -7580     0  0 PHI
PAZ039   380390 Susquehanna                      PA US  4182  -7580     0  0 BGM
NYZ056   320560 Broome                           NY US  4216  -7582     0  0 BGM
MDZ020   200200 Caroline                         MD US  3887  -7583     0  0 PHI
NCZ102   331020 Eastern_Currituck                NC US  3640  -7584     0  0 AKQ
NCZ047   330470 Mainland_Dare                    NC US  3578  -7586     0  0 MHX
VAZ100   461000 Northampton                      VA US  3736  -7590     0  0 AKQ
NYZ007   320070 Jefferson                        NY US  4404  -7591     0  0 BUF
NCZ204   332040 Ocracoke_Island                  NC US  3513  -7591     0  0 MHX
PAZ060   380600 Berks                            PA US  4042  -7593     0  0 PHI
MDZ008   200080 Cecil                            MD US  3957  -7594     0  0 LWX
PAZ047   380470 Luzerne                          PA US  4118  -7599     0  0 BGM
MDZ021   200210 Dorchester                       MD US  3848  -7601     0  0 AKQ
MDZ015   200150 Queen_Anne's                     MD US  3907  -7601     0  0 PHI
PAZ043   380430 Wyoming                          PA US  4152  -7602     0  0 BGM
NCZ017   330170 Western_Currituck                NC US  3640  -7603     0  0 AKQ
MDZ012   200120 Kent                             MD US  3926  -7604     0  0 PHI
VAZ098   460980 Virginia_Beach                   VA US  3675  -7606     0  0 AKQ
NYZ044   320440 Cortland                         NY US  4260  -7607     0  0 BGM
MDZ019   200190 Talbot                           MD US  3877  -7609     0  0 PHI
NYZ006   320060 Oswego                           NY US  4343  -7614     0  0 BUF
MDZ508   205080 Southeast_Harford                MD US  3953  -7616     0  0 LWX
NYZ018   320180 Onondaga                         NY US  4301  -7619     0  0 BGM
NCZ046   330460 Tyrrell                          NC US  3582  -7621     0  0 MHX
NCZ016   330160 Camden                           NC US  3639  -7621     0  0 AKQ
PAZ058   380580 Schuylkill                       PA US  4071  -7622     0  0 CTP
PAZ066   380660 Lancaster                        PA US  4004  -7625     0  0 CTP
NCZ081   330810 Mainland_Hyde                    NC US  3554  -7625     0  0 MHX
NCZ015   330150 Pasquotank                       NC US  3630  -7629     0  0 AKQ
VAZ097   460970 Chesapeake                       VA US  3668  -7630     0  0 AKQ
NYZ055   320550 Tioga                            NY US  4217  -7631     0  0 BGM
VAZ095   460950 Norfolk/Portsmouth               VA US  3688  -7633     0  0 AKQ
VAZ086   460860 Mathews                          VA US  3746  -7634     0  0 AKQ
VAZ525   465250 Hampton/Poquoson                 VA US  3707  -7637     0  0 AKQ
MDZ507   205070 Northwest_Harford                MD US  3963  -7640     0  0 LWX
PAZ053   380530 Columbia                         PA US  4105  -7641     0  0 CTP
MDZ011   200110 Southern_Baltimore               MD US  3929  -7641     0  0 LWX
VAZ077   460770 Northumberland                   VA US  3797  -7644     0  0 AKQ
NCZ032   330320 Perquimans                       NC US  3621  -7644     0  0 AKQ
VAZ078   460780 Lancaster                        VA US  3774  -7646     0  0 AKQ
PAZ059   380590 Lebanon                          PA US  4037  -7646     0  0 CTP
NYZ025   320250 Tompkins                         NY US  4245  -7647     0  0 BGM
MDZ018   200180 Calvert                          MD US  3838  -7647     0  0 LWX
MDZ017   200170 St._Marys                        MD US  3833  -7647     0  0 LWX
VAZ084   460840 Gloucester                       VA US  3736  -7649     0  0 AKQ
VAZ096   460960 Suffolk                          VA US  3687  -7650     0  0 AKQ
PAZ042   380420 Sullivan                         PA US  4145  -7651     0  0 CTP
NCZ196   331960 East_Carteret                    NC US  3487  -7651     0  0 MHX
VAZ524   465240 Newport_News                     VA US  3711  -7652     0  0 AKQ
VAZ085   460850 Middlesex                        VA US  3764  -7652     0  0 AKQ
PAZ038   380380 Bradford                         PA US  4179  -7652     0  0 BGM
NYZ017   320170 Southern_Cayuga                  NY US  4280  -7653     0  0 BGM
VAZ523   465230 York                             VA US  3724  -7656     0  0 AKQ
NCZ045   330450 Washington                       NC US  3582  -7658     0  0 MHX
NYZ005   320050 Northern_Cayuga                  NY US  4318  -7661     0  0 BUF
NCZ031   330310 Chowan                           NC US  3615  -7661     0  0 AKQ
MDZ014   200140 Anne_Arundel                     MD US  3901  -7661     0  0 LWX
PAZ051   380510 Montour                          PA US  4103  -7666     0  0 CTP
MDZ006   200060 Northern_Baltimore               MD US  3954  -7669     0  0 LWX
NCZ014   330140 Gates                            NC US  3645  -7670     0  0 AKQ
PAZ052   380520 Northumberland                   PA US  4085  -7671     0  0 CTP
VAZ093   460930 Isle_of_Wight                    VA US  3689  -7673     0  0 AKQ
VAZ075   460750 Westmoreland                     VA US  3814  -7673     0  0 AKQ
PAZ065   380650 York                             PA US  3992  -7673     0  0 CTP
NCZ094   330940 Pamlico                          NC US  3514  -7675     0  0 MHX
VAZ522   465220 Eastern_Essex                    VA US  3785  -7676     0  0 AKQ
NYZ024   320240 Chemung                          NY US  4214  -7676     0  0 BGM
VAZ076   460760 Richmond                         VA US  3789  -7677     0  0 AKQ
PAZ057   380570 Dauphin                          PA US  4042  -7678     0  0 CTP
VAZ520   465200 Eastern_King_and_Queen           VA US  3764  -7680     0  0 AKQ
NYZ016   320160 Seneca                           NY US  4278  -7682     0  0 BGM
VAZ090   460900 James_City                       VA US  3723  -7683     0  0 AKQ
MDZ013   200130 Prince_Georges                   MD US  3883  -7684     0  0 LWX
NCZ080   330800 Beaufort                         NC US  3549  -7686     0  0 MHX
MDZ506   205060 Central_and_Southeast_Howard     MD US  3922  -7687     0  0 LWX
NYZ023   320230 Schuyler                         NY US  4239  -7688     0  0 BGM
VAZ089   460890 Surry                            VA US  3711  -7690     0  0 AKQ
NCZ195   331950 West_Carteret                    NC US  3477  -7691     0  0 MHX
PAZ046   380460 Southern_Lycoming                PA US  4123  -7692     0  0 CTP
VAZ518   465180 Eastern_King_William             VA US  3762  -7696     0  0 AKQ
NCZ194   331940 Southern_Craven                  NC US  3495  -7697     0  0 MHX
NCZ030   330300 Bertie                           NC US  3607  -7698     0  0 AKQ
NCZ013   330130 Hertford                         NC US  3636  -7698     0  0 AKQ
MDZ016   200160 Charles                          MD US  3851  -7699     0  0 LWX
VAZ083   460830 New_Kent                         VA US  3751  -7700     0  0 AKQ
VAZ521   465210 Western_Essex                    VA US  3799  -7701     0  0 AKQ
DCZ001   510010 District_of_Columbia             DC US  3891  -7701     0  0 LWX
MDZ005   200050 Carroll                          MD US  3956  -7702     0  0 LWX
NYZ004   320040 Wayne                            NY US  4316  -7703     0  0 BUF
MDZ505   205050 Northwest_Howard                 MD US  3931  -7704     0  0 LWX
VAZ082   460820 Charles_City                     VA US  3736  -7706     0  0 AKQ
PAZ049   380490 Union                            PA US  4096  -7706     0  0 CTP
VAZ519   465190 Western_King_and_Queen           VA US  3785  -7707     0  0 AKQ
PAZ050   380500 Snyder                           PA US  4077  -7707     0  0 CTP
VAZ092   460920 Southampton                      VA US  3672  -7710     0  0 AKQ
VAZ054   460540 Arlington/Falls_Ch/Alexandria    VA US  3886  -7710     0  0 LWX
NYZ015   320150 Yates                            NY US  4263  -7711     0  0 BGM
NCZ029   330290 Martin                           NC US  3584  -7711     0  0 MHX
MDZ504   205040 Central_and_SE_Montgomery        MD US  3908  -7711     0  0 LWX
VAZ057   460570 King_George                      VA US  3827  -7716     0  0 LWX
PAZ041   380410 Northern_Lycoming                PA US  4143  -7717     0  0 CTP
VAZ517   465170 Western_King_William             VA US  3777  -7719     0  0 AKQ
