! VOLCANO.TBL
!
! This table contains the locations of volcanoes.
!
! The format for the file is given below, with the number of characters in
! parentheses.
!
! Log:
! G. Krueger/EAI         1/00   Generated original
! A. Hardy/NCEP          6/03   Fixed the spelling for TUNGURAHUA
! R. Tian/SAIC           7/03   Recreated from $GEMPAK/data/tables/volcano_smithsonian.orig.tbl
! D.W.Plummer/NCEP       8/04   Added Anatahan (Mariana Is-C Pacific)
! D.W.Plummer/NCEP       8/04   Reconcile w/ NESDIS/SAB operations
! S. Jacobs/NCEP        12/10   Reconcile w/ NESDIS/SAB operations
! S. Gilbert/NCEP        2/14   Updated ID numbers based on new info from Smithsonian
! S. Gilbert/NCEP       11/14   Renamed Negro_de_Mayasquer,_Cerro to Chiles-Cerro_Negro
! S. Guan/NCEP           8/16   Added Sotara (Columbia)
! S. Guan/NCEP           1/17   Updated LAT, LON. and ELV from http://volcano.si.edu/projects/vaac-data/
! B. Hebbard/NCEP        2/23   Updated to include all SI GVP volcanoes with Last Known Eruption in CE
!-------------------------------------------------------------------
!
!STID    STNM   NAME                             ST CO   LAT    LON  ELV PRI LOCATION
!(8)     (6)    (32)                            (2)(2)   (5)    (6)   (5)(2) (20)
!
354030   999999 Huaynaputina                     -- -- -1661  -7085  4850  0 Peru
358057   999999 Hudson,_Cerro                    -- -- -4590  -7297  1905  0 Chile-S
358030   999999 Huequi                           -- -- -4238  -7258  1318  0 Chile-S
351050   999999 Huila                            -- --   293  -7603  5364  0 Colombia
243040   999999 Hunga_Tonga-Hunga_Ha'apai        -- -- -2054 -17538   114  0 Tonga-SW.Pacific
258020   999999 Hunter_Island                    -- -- -2240  17205   297  0 SW.Pacific
268030   999999 Ibu                              -- --   149  12763  1325  0 Halmahera-Indonesia
300280   999999 Ichinsky                         -- --  5568  15772  3596  0 Kamchatka
263350   999999 Ijen                             -- --  -806  11424  2769  0 Java
313020   999999 Iliamna                          -- --  6003 -15309  3053  0 Alaska-SW
264220   999999 Iliboleng                        -- --  -834  12326  1659  0 Lesser.Sunda.Is
264250   999999 Iliwerung                        -- --  -853  12357   583  0 Lesser.Sunda.Is
343060   999999 Ilopango                         -- --  1367  -8905   450  0 El.Salvador
300030   999999 Ilyinsky                         -- --  5150  15720  1555  0 Kamchatka
314060   999999 Imuruk_Lake                      -- --  6552 -16345   610  0 Alaska-US-W
264090   999999 Inielika                         -- --  -873  12098  1559  0 Lesser.Sunda.Is
274060   999999 Iraya                            -- --  2047  12201  1009  0 Luzon
345060   999999 Irazu                            -- --   998  -8385  3436  0 Costa.Rica
282010   999999 Iriomote-jima                    -- --  2457  12393  -200  0 Ryukyu.Is
355040   999999 Irruputuncu                      -- -- -2073  -6855  5163  0 Chile-N
211030   999999 Ischia                           -- --  4073   1390   789  0 Italy
320090   999999 Iskut-Unuk_River_Cones           -- --  5658 -13055  1880  0 Canada
355030   999999 Isluga                           -- -- -1915  -6883  5550  0 Chile-N
283270   999999 Iwakisan                         -- --  4066  14030  1625  0 Honshu-Japan
283240   999999 Iwate                            -- --  3985  14100  2038  0 Honshu-Japan
282020   999999 Iwo-Tori-shima                   -- --  2788  12822   212  0 Ryukyu.Is
284120   999999 Iwo-jima                         -- --  2475  14129   169  0 Volcano.Is-Japan
264110   999999 Iya                              -- --  -889  12164   618  0 Lesser.Sunda.Is
343030   999999 Izalco                           -- --  1381  -8963  1950  0 El.Salvador
283010   999999 Izu-Tobu                         -- --  3490  13910  1406  0 Honshu-Japan
376010   999999 Jan_Mayen                        -- --  7108   -815  2197  0 Atlantic-N-Jan.Mayen
322020   999999 Jefferson                        -- --  4467 -12180  3199  0 US-Oregon
341062   999999 Jocotitlan                       -- --  1973  -9976  3900  0 Mexico-Is
261220   999999 Kaba                             -- --  -352  10262  1940  0 Sumatra
251002   999999 Kadovar                          -- --  -361  14459   365  0 New.Guinea
311260   999999 Kagamil                          -- --  5297 -16972   893  0 Aleutian.Is
241010   999999 Kaikohe-Bay_of_Islands           -- -- -3530  17390   388  0 New.Zealand
284100   999999 Kaitoku_Seamount                 -- --  2613  14110   -95  0 Volcano.Is-Japan
300010   999999 Kambalny                         -- --  5131  15688  2116  0 Kamchatka
311110   999999 Kanaga                           -- --  5192 -17717  1307  0 Aleutian.Is
243061   999999 Kao                              -- -- -1967 -17502  1009  0 Tonga-SW.Pacific
267020   999999 Karangetang_[Api_Siau]           -- --   278  12541  1797  0 Sangihe.Is-Indonesia
251030   999999 Karkar                           -- --  -465  14598  1839  0 New.Guinea
290350   999999 Karpinsky_Group                  -- --  5015  15537  1326  0 Kuril.Is
233010   999999 Karthala                         -- -- -1175   4338  2361  0 Indian.O-W
300130   999999 Karymsky                         -- --  5405  15944  1513  0 Kamchatka
311130   999999 Kasatochi                        -- --  5218 -17551   314  0 Aleutian.Is
284134   999999 Kasuga_1                         -- --  2176  14371  -598  0 Mariana.Is-C.Pacific
372030   999999 Katla                            -- --  6363  -1908  1490  0 Iceland-S
312170   999999 Katmai                           -- --  5828 -15496  2047  0 Alaska.Peninsula
255060   999999 Kavachi                          -- --  -899  15798   -20  0 Solomon.Is-SW.Pac
264140   999999 Kelimutu                         -- --  -877  12182  1639  0 Lesser.Sunda.Is
263280   999999 Kelut                            -- --  -794  11231  1730  0 Java
261170   999999 Kerinci                          -- --  -170  10126  3800  0 Sumatra
290200   999999 Ketoi                            -- --  4735  15248  1172  0 Kuril.Is
300272   999999 Khangar                          -- --  5476  15741  1967  0 Kamchatka
290300   999999 Kharimkotan                      -- --  4912  15451  1145  0 Kuril.Is
231060   999999 Khaybar,_Harrat                  -- --  2550   4000  2093  0 Saudi_Arabia
360160   999999 Kick-'em-Jenny                   -- --  1230  -6164  -185  0 W.Indies
282060   999999 Kikai                            -- --  3079  13030   704  0 Ryukyu.Is
300180   999999 Kikhpinych                       -- --  5449  16025  1515  0 Kamchatka
332010   999999 Kilauea                          -- --  1942 -15529  1222  0 Hawaiian.Is
300551   999999 Kinenin                          -- --  5735  16097   583  0 Kamchatka
282090   999999 Kirishima                        -- --  3193  13086  1700  0 Kyushu-Japan
311020   999999 Kiska                            -- --  5210  17760  1220  0 Aleutian.Is
284121   999999 Kita-Fukutokutai                 -- --  2442  14142   -73  0 Izu.Is-Japan
284110   999999 Kita-Iwo-jima                    -- --  2542  14128   792  0 Volcano.Is-Japan
