The following table lists all of the possible IOSTAT errors encountered on the HPUX,
SunOS, IRIX 4 and IRIX 5 machines.  Use this table to translate an IOSTAT code which
is not translated by SS_IRET.  To translate, take the IOSTAT code returned by the
program and locate it under the appropriate column on the right-hand side.

This table was constructed using information derived from the following sources:
HPUX:	/usr/include/sys/errno.h
	/usr/lib/nls/C/f77_msgs.cat
	man pages for PERROR (3F)	

SunOS:	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

IRIX:  	/usr/include/sys/errno.h
	man pages for INTRO (2) and PERROR (3F)

A number with a following asterisk indicates that there is another instance of the same
IOSTAT number elsewhere in the table.  

A sole asterisk indicates that there is no IOSTAT number which correpsonds to the 
given message.

!#      Message							 HP   SUN   IX4   IX5
!-      -------                                          	---   ---   ---   ---
236  FORMATTED I/O ATTEMPTED ON UNFORMATTED FILE 		902     *     *     *	
237  UNFORMATTED I/O ATTEMPTED ON FORMATTED FILE		903     *     *     *
238  DIRECT I/O ATTEMPTED ON SEQUENTIAL FILE 			904     *     *     *
239  ERROR IN LIST-DIRECTED READ OF LOGICAL DATA		905     *     *     *
240  ILLEGAL SEQUENTIAL I/O TO TERMINAL ATTEMPTED		906     *     *     *
241  ERROR IN LIST-DIRECTED I/O READ OF CHARACTER DATA		907     *     *     *
242  COULD NOT OPEN FILE SPECIFIED				908     *     *     *
243  SEQUENTIAL I/O ATTEMPTED ON DIRECT ACCESS FILE		909     *     *     *
244  ACCESS PAST END OF RECORD ATTEMPTED			910     *     *     *
245  CALL TO FUNCTION PERFORMING I/O IN I/O LIST		911     *     *     *
246  ERROR IN LIST I/O READ OF COMPLEX DATA			912     *     *     *
247  OUT OF FREE SPACE						913     *     *     *
248  ACCESS OF UNCONNECTED UNIT ATTEMPTED			914     *     *     *
249  READ UNEXPECTED CHARACTER					915     *     *     *
250  ERROR IN READ OF LOGICAL DATA				916     *     *     *
251  OPEN WITH NAMED SCRATCH FILE ATTEMPTED			917     *     *     *
252  OPEN OF EXISTING FILE WITH STATUS= 'NEW' ATTEMPTED		918     *     *     *
253  OPEN OF FILE CONNECTED TO DIFFERENT UNIT ATTEMPTED		920     *     *     *
254  UNFORMATTED OPEN WITH BLANK SPECIFIER ATTEMPTED		921     *     *     *
255  READ ON ILLEGAL RECORD ATTEMPTED				922     *     *     *
256  OPEN WITH ILLEGAL FORM SPECIFIER ATTEMPTED			923     *     *     *
257  CLOSE OF SCRATCH FILE WITH STATUS= 'KEEP' ATTEMPTED	924     *     *     *
258  OPEN WITH ILLEGAL STATUS SPECIFIER ATTEMPTED		925     *     *     *
259  CLOSE WITH ILLEGAL STATUS SPECIFIER ATTEMPTED		926     *     *     *
260  OPEN WITH ILLEGAL ACCESS SPECIFIER ATTEMPTED		927     *     *     *
261  OPEN OF SEQUENTIAL FILE WITH RECL SPECIFIER ATTEMPTED	928     *     *     *
262  OPEN OF DIRECT FILE WITH NO RECL SPECIFIER ATTEMPTED	929     *     *     *
263  OPEN WITH RECL LESS THAN 1 ATTEMPTED			930     *     *     *
264  OPEN WITH ILLEGAL BLANK SPECIFIER ATTEMPTED		931     *     *     *
265  TOO MANY UNITS OPEN AT ONCE				932     *     *     *
266  SEQUENTIAL END-OF-FILE WITH NO "END=" SPECIFIER		933     *     *     *
267  OPEN OF READ ONLY FILE WITH ACCESS='APPEND' ATTEMPTED 	934     *     *     *
268  INTERNAL LIBRARY ERROR					935     *     *     *
269  APPEND I/O ATTEMPTED ON SEQUENTIAL ONLY FILE/DEVICE	936     *     *     *
270  ILLEGAL RECORD NUMBER SPECIFIED				937     *     *     *
271  LIST-DIRECTED I/O OF UNKNOWN TYPE				938     *     *     *
272  OPEN OF INACCESSIBLE FILE ATTEMPTED			939     *     *     *
273  ERROR IN ATTEMPTED OPEN					940     *     *     *
274  ERROR IN SEQUENTIAL UNFORMATTED READ			941     *     *     *
275  ERROR IN LIST-DIRECTED READ - CHARACTER DATA READ FOR	942     *     *     *
!     ASSIGNMENT TO NON-CHARACTER VARIABLE
276  ERROR IN DIRECT FORMATTED READ				943     *     *     *
277  RECORD TOO LONG IN DIRECT UNFORMATTED I/O			944     *     *     *
278  ERROR IN FORMATTED I/O					945     *     *     *
279  ERROR IN LIST-DIRECTED I/O					946     *     *     *
280  FORMAT DESCRIPTOR NOT COMPATIBLE FOR ITEM TYPE		947     *     *     *
281  WRITE TO WRITE-PROTECTED FILE ATTEMPTED			948     *     *     *
282  READ FROM READ-PROTECTED FILE ATTEMPTED			949     *     *     *
283  SUBSCRIPT, SUBSTRING, OR PARAMETER OUT OF BOUNDS AT 	950     *     *     *
!     STATEMENT NUMBER !
284  LABEL OUT OF BOUNDS IN ASSIGNED GOTO AT STATEMENT 		951     *     *     *
!     NUMBER !
285  ZERO INCREMENT VALUE IN DO LOOP AT STATEMENT NUMBER !	952     *     *     *
286  NO REPEATABLE EDIT DESCRIPTOR IN FORMAT STRING		953     *     *     *
287  ILLEGAL USE OF EMPTY FORMAT				954     *     *     *
288  OPEN WITH NO FILE= AND STATUS = 'OLD' OR 'NEW'		955     *     *     *
289  FILE SYSTEM ERROR						956     *     *     *
290  FORMAT DESCRIPTOR INCOMPATIBLE WITH NUMERIC ITEM IN 	957     *     *     *
!     I/O LIST
291  FORMAT DESCRIPTOR INCOMPATIBLE WITH CHARACTER ITEM IN 	958     *     *     *
!     I/O LIST
292  FORMAT DESCRIPTOR INCOMPATIBLE WITH LOGICAL ITEM IN 	959     *     *     *
!     I/O LIST
293  FORMAT ERROR : MISSING STARTING LEFT PARENTHESIS		960     *     *     *
294  FORMAT ERROR : INVALID FORMAT DESCRIPTOR			961     *     *     *
295  FORMAT ERROR : UNEXPECTED CHARACTER FOUND FOLLOWING A	962     *     *     *
!     NUMBER IN THE FORMAT STRING
296  FORMAT ERROR : TRYING TO SCALE UNSCALABLE FORMAT SPECIFIER	963     *     *     *
297  FORMAT ERROR : PARENTHESES TOO DEEPLY NESTED.		964     *     *     *
298  FORMAT ERROR : INVALID TAB SPECIFIER.			965     *     *     *
299  FORMAT ERROR : INVALID BLANK SPECIFIER			966     *     *     *
300  FORMAT ERROR : SPECIFIER EXPECTED BUT END OF FORMAT FOUND	967     *     *     *
301  FORMAT ERROR : MISSING SEPARATOR				968     *     *     *
302  FORMAT ERROR : DIGIT EXPECTED				969     *     *     *
303  FORMAT ERROR : PERIOD EXPECTED IN FLOATING POINT 		970     *     *     *
!     FORMAT DESCRIPTOR
304  FORMAT ERROR : UNBALANCED PARENTHESES			971     *     *     *
305  FORMAT ERROR : INVALID STRING IN FORMAT			972     *     *     *
306  RECORD LENGTH DIFFERENT IN SUBSEQUENT OPEN			973     *     *     *
307  RECORD ACCESSED PAST END OF INTERNAL FILE (VARIABLE)	974     *     *     *
308  ILLEGAL NEW FILE NUMBER REQUESTED IN FSET FUNCTION		975     *     *     *
309  UNEXPECTED CHARACTER IN "NAMELIST" READ			976     *     *     *
310  ILLEGAL SUBSCRIPT OR SUBSTRING IN "NAMELIST" READ		977     *     *     *
311  TOO MANY VALUES IN "NAMELIST" READ				978     *     *     *
312  VARIABLE NOT IN "NAMELIST" GROUP				979     *     *     *
313  "NAMELIST" I/O ATTEMPTED ON UNFORMATTED FILE		980     *     *     *
314  VALUE OUT OF RANGE IN NUMERIC READ				981     *     *     *
315  INVALID SIZE FOR SHARED MEMORY SEGMENT			982     *     *     *
316  SHARED MEMORY SEGMENT ACCESS PERMISSION DENIED		983     *     *     *
317  SHARED MEMORY IDENTIFIER LIMIT EXCEEDED			984     *     *     *
318  NOT ENOUGH SHARED MEMORY SPACE TO ALLOCATE 		985     *     *     *
!     SHARED MEMORY SEGMENT
319  SHARED MEMORY SEGMENT LOCKING PERMISSION DENIED		986     *     *     *
320  SHARED MEMORY SEGMENT LIMIT EXCEEDED			987     *     *     *
321  PROGRAM HAS ISAM FILE USAGE, SHOULD BE LINKED 		988     *     *     *
!     WITH ISAM LIBRARY USING -lisam OPTION
322  ILLEGAL FORTRAN NLS CALL:  FORTRAN SOURCE CODE		989     *     *     *
!     MUST BE COMPILED WITH -Y
323  OPEN WITH ILLEGAL RECORDTYPE SPECIFIER			990     *     *     *
